key,messages,texts,en,ar,bg,bs,ca,cs,cy,da,de,el,es-ES,es-MX,et,fi,fr,he,hr,hu,id,it,ja,ko,lt,lv,ms,nl,no,pl,pt-BR,pt-PT,ro,ru,sk,sl,sr,sv-SE,th,tr,uk,vi,zh-CN,zh-TW
appDisableError,true,false,"There was an error while disabling the app. If this issue persists, please contact support.",حدث خطأ أثناء تعطيل التطبيق. في حال استمرت هذه المشكلة، يرجى الاتصال بالدعم.,"Възникна грешка при деактивирането на приложението. Ако този проблем продължава, моля свържете се с екипа за поддръжка.","Došlo je do pogreške prilikom onemogućavanja aplikacije. Ako se ovaj problem nastavi, kontaktirajte podršku.","S'ha produït un error en deshabilitar l’aplicació. Si aquest problema continua, posa't en contacte amb suport.","Při deaktivaci aplikace došlo k chybě. Pokud tento problém přetrvává, kontaktujte prosím podporu.","Roedd gwall wrth analluogi'r ap. Os bydd y mater yn parhau, cysylltwch â cymorth.","Der opstod en fejl under deaktivering af appen. Hvis dette problem fortsætter, bedes du kontakte support.","Beim Deaktivieren der App ist ein Fehler aufgetreten. Wenn das Problem weiterhin besteht, wenden Sie sich an den Support.","Παρουσιάστηκε ένα σφάλμα κατά την απενεργοποίηση της εφαρμογής. Εάν το ζήτημα παραμένει, παρακαλούμε επικοινωνήστε με την υποστήριξη.","Se ha producido un error durante la desactivación de la aplicación. Si este problema persiste, por favor póngase en contacto con soporte.","Ocurrió un error al deshabilitar la aplicación. Si este problema persiste, póngase en contacto con el soporte técnico.","Rakenduse väljalülitamisel tekkis viga. Kui probleem jätkub, võta palun ühendust klienditeenindusega.","Sovelluksen poistamisessa tapahtui virhe. Jos ongelma jatkuu, ota yhteyttä tukeen.","Une erreur s'est produite lors de la désactivation de l'application. Si ce problème persiste, veuillez contacter le support.","אירעה שגיאה במהלך השבתת היישום. אם הבעיה נמשכת, צור קשר עם התמיכה.","Došlo je do pogreške prilikom onemogućivanja aplikacije. Ako se problem nastavi pojavljivati, molimo kontaktirajte podršku.","Az alkalmazás letiltásakor hiba történt. Ha a probléma továbbra is fennáll, kérem, vegye fel a kapcsolatot az ügyfélszolgálattal.","Terjadi kesalahan saat menonaktifkan aplikasi. Jika masalah ini terus berlanjut, hubungi dukungan.","Si è verificato un errore durante la disattivazione dell’app. Se il problema persiste, contatta l’assistenza.",アプリの無効化中にエラーが発生しました。問題が解決しない場合はサポートまでご連絡下さい。,"앱을 비활성화하는 중 오류가 발생했습니다. 오류가 계속되면, 지원팀에 문의해주세요.","Įvyko klaida išjungiant programėlę. Jei ši problema išlieka, susisiekite su klientų aptarnavimo tarnyba.","Atspējojot programmu, radās kļūda. Ja problēma saglabājas, lūdzu, sazinieties ar atbalsta centru.","Terdapat satu ralat semasa menyahdayakan aplikasi. Sekiranya isu ini berterusan, sila hubungi sokongan.",Er is een fout opgetreden bij het uitschakelen van de app. Neem contact op met ondersteuning als dit probleem aanhoudt.,Det oppstod en feil under deaktivering av appen. Kontakt kundestøtte hvis dette problemet vedvarer.,"Wystąpił błąd podczas wyłączania aplikacji. Jeśli problem będzie nadal występował, skontaktuj się z obsługą.","Houve um erro durante a desabilitação do aplicativo. Se o problema persistir, entre em contato com o suporte.","Ocorreu um erro ao desativar a app. Se este problema continuar, contacte o apoio.","A apărut o eroare în timpul dezactivării aplicației. Dacă această problemă persistă, vă rugăm să contactați serviciul de asistență.","При отключении приложения произошла ошибка. Если проблема не решится, обратитесь в поддержку.","Pri deaktivovaní aplikácie sa vyskytla chyba. Ak tento problém pretrváva, kontaktujte podporu.","Med onemogočanjem aplikacije je prišlo do napake. Če težava ne bo odpravljena, se obrnite na podporo.","Дошло је до грешке приликом деактивирања апликације. Ако се овај проблем настави, контактирајте подршку.",Ett fel inträffade när appen skulle inaktiveras. Kontakta supporten om problemet kvarstår.,เกิดข้อผิดพลาดขณะปิดใช้งานแอป หากปัญหานี้ยังดำเนินต่อไป โปรดติดต่อฝ่ายสนับสนุน,"Uygulamayı devre dışı bırakırken bir hata oluştu. Bu sorun devam ederse, lütfen destekle iletişime geçin.","Під час вимкнення програми виникла помилка. Якщо ця проблема не зникне, зверніться до служби підтримки.","Đã xảy ra lỗi khi tắt ứng dụng. Nếu vấn đề này tiếp diễn, vui lòng liên hệ bộ phận hỗ trợ.",禁用应用时出错。如问题依然存在，请联系支持团队。,停用 APP 時發生錯誤。若此問題持續發生，請與支援團隊聯繫。
reauthorizeSuccess,true,false,Reauthorize Successful,تمت إعادة المصادقة بنجاح,Повторното оторизиране е успешно,Ponovna autorizacija je uspjela,Reautorització realitzada correctament,Opětovné ověření bylo úspěšné,Ail-awdurdodi'n Llwyddiannus,Gengodkendelse gennemført,Neuautorisierung erfolgreich,Επιτυχής Επανέγκριση,Reautorización realizada correctamente,La reautorización se ha realizado correctamente,Taaskinnitamine edukas,Uudelleenvaltuutus onnistui,La réautorisation a réussi,אישור מחדש בוצע בהצלחה,Uspješno ponovno autoriziranje,Sikeres újraengedélyezés,Otorisasi Ulang Berhasil,Riautorizzazione eseguita correttamente,再認証に成功しました,재인증 성공,Pakartotinis prieigos suteikimas sėkmingas,Atkārtota autorizēšana veiksmīga,Pengesahan semula Berjaya,Opnieuw autoriseren succesvol,Re-autoriseringen er vellykket,Ponowna autoryzacja przebiegła pomyślnie,Reautorização bem-sucedida,Reautorização Bem-sucedida,Reautorizare cu succes,Успешная повторная авторизация,Opätovné autorizovanie bolo úspešné,Ponovna avtorizacija uspešna,Поновна ауторизација је успела,Återauktoriseringen lyckades,อนุญาตอีกครั้งสำเร็จ,Yeniden Yetkilendirme Başarılı,Повторна авторизація пройшла успішно,Ủy quyền lại thành công,重新授权成功,重新授權成功
defaultErrorMessage,true,false,"An unexpected error occured. If this issue persists, please contact support.",حدث خطأ غير متوقع. في حال استمرت هذه المشكلة، يرجى الاتصال بالدعم.,"Възникна неочаквана грешка. Ако този проблем продължава, моля свържете се с екипа за поддръжка.","Došlo je do neočekivane pogreške. Ako se ovaj problem nastavi, kontaktirajte podršku.","S'ha produït un error inesperat. Si aquest problema continua, posa't en contacte amb suport.","Došlo k neočekávané chybě. Pokud tento problém přetrvává, kontaktujte prosím podporu.","Digwyddodd gwall annisgwyl. Os bydd y mater yn parhau, cysylltwch â cymorth.","Der opstod en uventet fejl. Hvis dette problem fortsætter, bedes du kontakte support.","Ein unerwarteter Fehler ist aufgetreten. Wenn das Problem weiterhin besteht, wenden Sie sich an den Support.","Προέκυψε ένα μη αναμενόμενο σφάλμα. Εάν το ζήτημα παραμένει, παρακαλούμε επικοινωνήστε με την υποστήριξη.","Se ha producido un error inesperado. Si este problema persiste, por favor, póngase en contacto con soporte.","Ocurrió un error inesperado. Si este problema persiste, póngase en contacto con el soporte técnico.","Tekkis ootamatu viga. Kui probleem jätkub, võta palun ühendust klienditeenindusega.","Tapahtui odottamaton virhe. Jos ongelma jatkuu, ota yhteyttä tukeen.","Une erreur inattendue s'est produite. Si ce problème persiste, veuillez contacter le support.","אירעה שגיאה לא צפויה. אם הבעיה נמשכת, צור קשר עם התמיכה.","Došlo je do neočekivane pogreške. Ako se problem nastavi pojavljivati, molimo kontaktirajte podršku.","Váratlan hiba történt. Ha a probléma továbbra is fennáll, kérem, vegye fel a kapcsolatot az ügyfélszolgálattal.","Terjadi kesalahan tak terduga. Jika masalah ini terus berlanjut, hubungi dukungan.","Si è verificato un errore imprevisto. Se il problema persiste, contatta l’assistenza.",予期しないエラーが発生しました。問題が解決しない場合はサポートまでご連絡ください。,예기치 않은 오류가 발생했습니다. 문제가 계속되면 지원팀에 문의해주세요.,"Įvyko nenumatyta klaida. Jei ši problema išlieka, susisiekite su klientų aptarnavimo tarnyba.","Radās neparedzēta kļūda. Ja problēma saglabājas, lūdzu, sazinieties ar atbalsta centru.","Ralat yang tidak dijangka berlaku. Sekiranya isu ini berterusan, sila hubungi sokongan.",Er is een onverwachte fout opgetreden. Neem contact op met ondersteuning als dit probleem aanhoudt.,Det oppstod en uventet feil. Kontakt kundestøtte hvis dette problemet vedvarer.,"Wystąpił nieznany błąd. Jeśli problem będzie nadal występował, skontaktuj się z obsługą.","Ocorreu um erro inesperado. Se o problema persistir, entre em contato com o suporte.","Ocorreu um erro inesperado. Se este problema continuar, contacte o apoio.","A apărut o eroare neașteptată. Dacă această problemă persistă, contactați serviciul de asistență.","Произошла непредвиденная ошибка. Если проблема не решится, обратитесь в поддержку.","Vyskytla sa neočakávaná chyba. Ak tento problém pretrváva, kontaktujte podporu.","Prišlo je do nepričakovane napake. Če težava ne bo odpravljena, se obrnite na podporo.","Дошло је до неочекиване грешке. Ако се овај проблем настави, контактирајте подршку.",Ett oväntat fel inträffade. Kontakta supporten om problemet kvarstår.,เกิดข้อผิดพลาดที่ไม่คาดคิด หากปัญหานี้ยังดำเนินต่อไป โปรดติดต่อฝ่ายสนับสนุน,"Beklenmeyen bir hata oluştu. Bu sorun devam ederse, lütfen destekle iletişime geçin.","Виникла несподівана помилка. Якщо ця проблема не зникне, зверніться до служби підтримки.","Đã xảy ra lỗi không mong muốn. Nếu vấn đề này tiếp diễn, vui lòng liên hệ bộ phận hỗ trợ.",发生未知错误。如问题依然存在，请联系支持团队。,發生預期外的錯誤。若此問題持續發生，請與支援團隊聯繫。
authError,true,false,"There was an error in Authentication. If this issue persists, please contact support.",حدث خطأ في المصادقة. في حال استمرت هذه المشكلة، يرجى الاتصال بالدعم.,"Възникна грешка при идентификацията. Ако този проблем продължава, моля свържете се с екипа за поддръжка.","Došlo je do pogreške prilikom autentifikacije. Ako se ovaj problem nastavi, kontaktirajte podršku.","S'ha produït un error durant l'autenticació. Si aquest problema continua, posa't en contacte amb suport.","Při ověřování došlo k chybě. Pokud tento problém přetrvává, kontaktujte prosím podporu.","Roedd gwall wrth Ddilysu. Os bydd y mater yn parhau, cysylltwch â cymorth.","Der opstod en fejl under godkendelsen. Hvis dette problem fortsætter, bedes du kontakte support.","Bei der Authentifizierung ist ein Fehler aufgetreten. Wenn das Problem weiterhin besteht, wenden Sie sich an den Support.","Παρουσιάστηκε ένα σφάλμα κατά τον έλεγχο ταυτότητας. Εάν το ζήτημα παραμένει, παρακαλούμε επικοινωνήστε με την υποστήριξη.","Se ha producido un error en el proceso de autenticación. Si este problema persiste, por favor, póngase en contacto con soporte.","Ocurrió un error durante la autenticación. Si este problema persiste, póngase en contacto con el soporte técnico.","Autentimisel tekkis viga. Kui probleem jätkub, võta palun ühendust klienditeenindusega.","Todennuksessa tapahtui virhe. Jos ongelma jatkuu, ota yhteyttä tukeen.","Une erreur s'est produite dans l'authentification. Si ce problème persiste, veuillez contacter le support.","אירעה שגיאה באימות. אם הבעיה נמשכת, צור קשר עם התמיכה.","Došlo je do pogreške u provjeri valjanosti. Ako se problem nastavi pojavljivati, molimo kontaktirajte podršku.","Hiba történt a Hitelesítéskor. Ha a probléma továbbra is fennáll, kérem, vegye fel a kapcsolatot az ügyfélszolgálattal.","Terjadi kesalahan dalam Autentikasi. Jika masalah ini terus berlanjut, hubungi dukungan.","Si è verificato un errore nell’autenticazione. Se il problema persiste, contatta l’assistenza.",認証中にエラーが発生しました。問題が解決しない場合はサポートまでご連絡下さい。,인증하는 중 오류가 발생했습니다. 이 문제가 계속되면 지원팀에 문의해주세요.,"Įvyko autentifikavimo klaida. Jei ši problema išlieka, susisiekite su klientų aptarnavimo tarnyba.","Autentifikācijas laikā radās kļūda. Ja problēma saglabājas, lūdzu, sazinieties ar atbalsta centru.","Terdapat satu ralat dalam Pengesahan. Sekiranya isu ini berterusan, sila hubungi sokongan.",Er is een fout opgetreden bij de authenticatie. Neem contact op met ondersteuning als dit probleem aanhoudt.,Det oppstod en feil under autentiseringen. Kontakt kundestøtte hvis dette problemet vedvarer.,"Wystąpił błąd podczas uwierzytelniania. Jeśli problem będzie nadal występował, skontaktuj się z obsługą.","Houve um erro de autenticação. Se o problema persistir, entre em contato com o suporte.","Ocorreu um erro na Autenticação. Se este problema continuar, contacte o apoio.","A apărut o eroare la autentificare. Dacă această problemă persistă, contactați serviciul de asistență.","Произошла ошибка проверки подлинности. Если проблема не решится, обратитесь в поддержку.","Pri autentifikácii sa vyskytla chyba. Ak tento problém pretrváva, kontaktujte podporu.","Pri avtentikaciji je prišlo do napake. Če težava ne bo odpravljena, se obrnite na podporo.","Дошло је до грешке у потврди идентитета. Ако се овај проблем настави, контактирајте подршку.",Ett fel inträffade med autentiseringen. Kontakta supporten om problemet kvarstår.,เกิดข้อผิดพลาดในการรับรองความถูกต้อง หากปัญหานี้ยังดำเนินต่อไป โปรดติดต่อฝ่ายสนับสนุน,"Kimlik Doğrulamada bir hata oluştu. Bu sorun devam ederse, lütfen destekle iletişime geçin.","Під час автентифікації виникла помилка. Якщо ця проблема не зникне, зверніться до служби підтримки.","Có lỗi khi Xác thực. Nếu vấn đề này tiếp diễn, vui lòng liên hệ bộ phận hỗ trợ.",认证时出错。如问题依然存在，请联系支持团队。,身份驗證時發生錯誤。若此問題持續發生，請與支援團隊聯繫。
validationFailureError,true,false,Validation failed,فشل التحقق من الصحة,Валидирането не беше успешно,Validacija nije uspjela,Error de validació,Ověřování selhalo,Dilysiad wedi methu,Validering mislykkedes,Validierung fehlgeschlagen,Η επικύρωση απέτυχε,Error de validación,Error de validación,Valideerimine ebaõnnestus,Vahvistus epäonnistui,La validation a échoué ,האימות נכשל,Provjera valjanosti nije uspjela,Érvényesítés sikertelen,Validasi gagal,Convalida non riuscita,認証に失敗しました,인증 실패,Nepavyko patvirtinti,Apstiprināšana neizdevās,Pengesahan gagal,Validatie mislukt,Valideringen mislyktes,Weryfikacja nie powiodła się,Falha de validação,Erro na validação,Validarea a eșuat,Ошибка подтверждения,Overenie zlyhalo,Preverjanje neuspešno,Валидација није успела,Valideringen misslyckades,การตรวจสอบล้มเหลว,Doğrulama başarısız,Помилка перевірки,Xác thực không thành công,验证失败,驗證失敗
invalidCategoryError,true,false,Requested category not found,فشل التحقق من الصحة,Валидирането не беше успешно,Validacija nije uspjela,Error de validació,Ověřování selhalo,Dilysiad wedi methu,Validering mislykkedes,Validierung fehlgeschlagen,Η επικύρωση απέτυχε,Error de validación,Error de validación,Valideerimine ebaõnnestus,Vahvistus epäonnistui,La validation a échoué ,האימות נכשל,Provjera valjanosti nije uspjela,Érvényesítés sikertelen,Validasi gagal,Convalida non riuscita,認証に失敗しました,인증 실패,Nepavyko patvirtinti,Apstiprināšana neizdevās,Pengesahan gagal,Validatie mislukt,Valideringen mislyktes,Weryfikacja nie powiodła się,Falha de validação,Erro na validação,Validarea a eșuat,Ошибка подтверждения,Overenie zlyhalo,Preverjanje neuspešno,Валидација није успела,Valideringen misslyckades,การตรวจสอบล้มเหลว,Doğrulama başarısız,Помилка перевірки,Xác thực không thành công,验证失败,驗證失敗
invalidCollectionError,true,false,Requested collection not found,فشل التحقق من الصحة,Валидирането не беше успешно,Validacija nije uspjela,Error de validació,Ověřování selhalo,Dilysiad wedi methu,Validering mislykkedes,Validierung fehlgeschlagen,Η επικύρωση απέτυχε,Error de validación,Error de validación,Valideerimine ebaõnnestus,Vahvistus epäonnistui,La validation a échoué ,האימות נכשל,Provjera valjanosti nije uspjela,Érvényesítés sikertelen,Validasi gagal,Convalida non riuscita,認証に失敗しました,인증 실패,Nepavyko patvirtinti,Apstiprināšana neizdevās,Pengesahan gagal,Validatie mislukt,Valideringen mislyktes,Weryfikacja nie powiodła się,Falha de validação,Erro na validação,Validarea a eșuat,Ошибка подтверждения,Overenie zlyhalo,Preverjanje neuspešno,Валидација није успела,Valideringen misslyckades,การตรวจสอบล้มเหลว,Doğrulama başarısız,Помилка перевірки,Xác thực không thành công,验证失败,驗證失敗
postConfigsError,true,false,Error occurred while calling postConfigs method,حدث خطأ أثناء استدعاء طريقة postConfigs,Възникна грешка при извикване на метода postConfigs,Došlo je do pogreške prilikom pozivanja postConfigs metode,S'ha produït un error en cridar al mètode postConfigs,Při vyvolávání metody postConfigs došlo k chybě,Digwyddodd gwall wrth alw dull postConfigs,Fejl opstod under opkald af postConfigs-metode,Beim Aufrufen der postConfigs-Methode ist ein Fehler aufgetreten,Προέκυψε σφάλμα κατά την κλήση της μεθόδου postConfigs,Se ha producido un error al llamar al método postConfigs,Ocurrió un error al llamar al método postConfigs,postConfigs-i meetodi laadimisel tekkis viga,Virhe kutsuttaessa metodia postConfigs,Une erreur s'est produite lors de l'appel de la méthode postConfigs,התרחשה שגיאה במהלך הקריאה לפעולת postConfigs,Došlo je do pogreške prilikom pozivanja metode postConfigs,Hiba történt a postConfigs behívásakor,Terjadi kesalahan saat memanggil metode postConfigs,Si è verificato un errore durante la chiamata al metodo postConfigs,postConfigsメソッドの実行中にエラーが発生しました,postConfigs 메서드 호출 중에 오류가 발생했습니다,Įvyko postConfigs metodo klaida,"Zvanot ar postConfigs, radās kļūda",Ralat berlaku semasa memanggil kaedah postConfigs,Fout bij opvoeren van postConfigs methode,Det oppstod en feil under kall av postConfigs-metoden,Wystąpił błąd podczas wywoływania metody postConfigs,Ocorreu um erro ao ligar para o método postConfigs,Ocorreu um erro ao ligar ao método postCongfigs,A apărut o eroare în timpul apelării metodei postConfigs,Произошла ошибка при вызове метода postConfigs,Pri volaní metódy postConfigs sa vyskytla chyba,Prišlo je do napake med klicanjem metode postConfigs,Дошло је до грешке приликом позивања postConfigs методa,Ett fel inträffade när metoden postConfigs åberopades,เกิดข้อผิดพลาดขณะเรียกวิธี postConfigs,postConfigs yöntemi çağrılırken hata oluştu,Під час звернення до postConfigs виникла помилка,Đã xảy ra lỗi khi gọi phương thức postConfigs,调用 postConfigs 方法时出现错误,調用 postConfigs 方法時發生錯誤
getConfigsError,true,false,Error occurred while calling getConfigs method,حدث خطأ أثناء استدعاء طريقة getConfigs,Възникна грешка при извикване на метода getConfigs,Došlo je do pogreške prilikom pozivanja getConfigs metode,S'ha produït un error en cridar al mètode getConfigs,Při vyvolávání metody getConfigs došlo k chybě,Digwyddodd gwall wrth alw dull getConfigs,Fejl opstod under opkald af getConfigs-metode,Beim Aufrufen der getConfigs-Methode ist ein Fehler aufgetreten,Προέκυψε σφάλμα κατά την κλήση της μεθόδου getConfigs,Se ha producido un error al llamar al método getConfigs,Ocurrió un error al llamar al método getConfigs,getConfigs-i meetodi laadimisel tekkis viga,Virhe kutsuttaessa metodia getConfigs,Une erreur s'est produite lors de l'appel de la méthode getConfigs,התרחשה שגיאה במהלך הקריאה לפעולת getConfigs,Došlo je do pogreške prilikom pozivanja metode getConfigs,Hiba történt a postConfigs behívásakor,Terjadi kesalahan saat memanggil metode getConfigs,Si è verificato un errore durante la chiamata al metodo getConfigs,getConfigsメソッドの実行中にエラーが発生しました,getConfigs 메서드 호출 중 오류가 발생했습니다,Įvyko getConfigs metodo klaida,"Zvanot ar getConfigs, radās kļūda",Ralat berlaku semasa memanggil kaedah postConfigs,Fout bij opvoeren van getConfigs methode,Det oppstod en feil under kall av getConfigs-metoden,Wystąpił błąd podczas wywoływania metody getConfigs,Ocorreu um erro ao ligar para o método getConfigs,Ocorreu um erro ao ligar ao método getCongfigs,A apărut o eroare în timpul apelării metodei getConfigs,Произошла ошибка при вызове метода getConfigs,Pri volaní metódy getConfigs sa vyskytla chyba,Prišlo je do napake med klicanjem metode getConfigs,Дошло је до грешке приликом позивања getConfigs методa,Ett fel inträffade när metoden getConfigs åberopades,เกิดข้อผิดพลาดขณะเรียกวิธี getConfigs,getConfigs yöntemi çağrılırken hata oluştu,Під час звернення до getConfigs виникла помилка,Đã xảy ra lỗi khi gọi phương thức getConfigs,调用 getConfigs 方法时出现错误,調用 getConfigs 方法時發生錯誤
getProductConfigsError,true,false,Error occurred while calling getProductConfigs method,حدث خطأ أثناء استدعاء طريقة getProductConfigs,Възникна грешка при извикване на метода getProductConfigs,"Došlo je do pogreške prilikom pozivanja getProductConfigs metode ",S'ha produït un error en cridar al mètode getProductConfigs,Při vyvolávání metody getProductConfigs došlo k chybě,Digwyddodd gwall wrth alw dull getProductConfigs,Fejl opstod under opkald af getProductConfigs-metode,Beim Aufrufen der getProductConfigs-Methode ist ein Fehler aufgetreten,Προέκυψε σφάλμα κατά την κλήση της μεθόδου getProductConfigs,Se ha producido un error al llamar al método getProductConfigs,Ocurrió un error al llamar al método getProductConfigs,getProductConfigs-i meetodi laadimisel tekkis viga,Virhe kutsuttaessa metodia getProductConfigs,Une erreur s'est produite lors de l'appel de la méthode getProductConfigs,אירעה שגיאה במהלך הקריאה לפעולת getProductConfigs,Došlo je do pogreške prilikom pozivanja metode getProductConfigs,Hiba történt a getProductConfigs behívásakor,Terjadi kesalahan saat memanggil metode getProductConfigs,Si è verificato un errore durante la chiamata al metodo getProductConfigs,getProductConfigsメソッドの実行中にエラーが発生しました,getProductConfigs 메서드 호출 중 오류가 발생했습니다.,Įvyko getProductConfigs metodo klaida,"Zvanot ar getProductConfigs, radās kļūda",Ralat berlaku semasa memanggil kaedah getProductConfigs,Fout bij opvoeren van getProductConfigs methode,Det oppstod en feil under kall av getProductConfigs-metoden,Wystąpił błąd podczas wywoływania metody getProductConfigs,Ocorreu um erro ao ligar para o método getProductConfigs,Ocorreu um erro ao ligar ao método getProductCongfigs,A apărut o eroare în timpul apelării metodei getProductConfigs,Произошла ошибка при вызове метода getProductConfigs,Pri volaní metódy getProductConfigs sa vyskytla chyba,Prišlo je do napake med klicanjem metode getProductConfigs,Дошло је до грешке приликом позивања getProductConfigs методa,Ett fel inträffade när metoden getProductConfigs åberopades,เกิดข้อผิดพลาดขณะเรียกวิธี getProductConfigs,getProductConfigs yöntemi çağrılırken hata oluştu,Під час звернення до getProductConfigs виникла помилка,Đã xảy ra lỗi khi gọi phương thức getProductConfigs,调用 getProductConfigs 方法时出现错误,調用 getProductConfigs 方法時發生錯誤
storingConfigsError,true,false,Failed to store installation parameters.,فشل في تخزين معلمات التثبيت.,Неуспешно съхраняване на инсталационните параметри.,Nije uspjelo pohranjivanje parametara instalacije.,No s’han pogut emmagatzemar els paràmetres d’instal·lació.,Nepodařilo se uložit instalační parametry.,Wedi methu storio paramedrau gosod.,Fejl under lagring af installationsparametre.,Fehler beim Speichern der Installationsparameter.,Αποτυχία αποθήκευσης παραμέτρων εγκατάστασης.,Error al almacenar los parámetros de instalación.,Error al almacenar los parámetros de instalación.,Paigaldusparameetrite salvestamine ebaõnnestus.,Asennusparametrien tallennus epäonnistui.,Échec du stockage des paramètres d'installation.,אחסון הפרמטרים של ההתקנה נכשל.,Pohrana instalacijskih parametara nije uspjela.,Nem sikerült eltárolni a telepítési paramétereket.,Gagal menyimpan parameter instalasi.,Impossibile memorizzare i parametri di installazione.,インストールパラメータを保存できませんでした。,설치 매개 변수를 저장하지 못했습니다.,Nepavyko išsaugoti įdiegimo nustatymų.,Neizdevās saglabāt instalācijas parametrus.,Gagal untuk menyimpan parameter pemasangan.,Installatieparameters kunnen niet worden opgeslagen.,Kan ikke lagre installasjonsparameterne.,Nie udało się zapisać parametrów instalacyjnych.,Falha ao armazenar os parâmetros de instalação.,Erro ao arquivar os parâmetros de instalação.,Nu s-au stocat parametrii de instalare.,Не удалось сохранить параметры установки.,Nepodarilo sa uložiť parametre inštalácie.,Shranjevanje namestitvenih parametrov je bilo neuspešno.,Чување параметара инсталације није успело.,Det gick inte att lagra installationsparametrarna.,ไม่สามารถจัดเก็บพารามิเตอร์การติดตั้งได้,Yükleme parametreleri saklanamadı.,Не вдалося зберегти параметри інсталяції.,Không thể lưu trữ các thông số cài đặt.,安装参数存储失败。,無法儲存安裝參數。
submitConfigsError,true,false,Failed to submit installation parameters,فشل في إرسال معلمات التثبيت,Неуспешно подаване на инсталационните параметри,Dostava parametara instalacije nije uspjela,No s’han pogut enviar els paràmetres d’instal·lació,Nepodařilo se odeslat instalační parametry,Wedi methu cyflwyno paramedrau gosod,Kunne ikke indsende installationsparametre,Fehler beim Übermitteln der Installationsparameter,Αποτυχία υποβολής παραμέτρων εγκατάστασης,Error al enviar los parámetros de instalación,Error al enviar los parámetros de instalación,Paigaldusparameetrite esitamine ebaõnnestus,Asennusparametrien lähetys epäonnistui,Échec de soumission des paramètres d'installation,שליחת הפרמטרים של ההתקנה נכשלה,Nije uspjelo slanje parametara instalacije,Nem sikerült elküldeni a telepítési paramétereket,Gagal mengirim parameter instalasi,Impossibile inviare i parametri di installazione,インストールパラメータを送信できませんでした,설치 매개 변수를 제출하지 못했습니다,Nepavyko pateikti įdiegimo nustatymų,Neizdevās iesniegt instalācijas parametrus,Gagal untuk menghantar parameter pemasangan,Installatieparameters kunnen niet worden verzonden,Kan ikke sende installasjonsparameterne,Nie udało się przesłać parametrów instalacyjnych.,Falha ao enviar os parâmetros de instalação,Erro ao submeter os parâmetros de instalação,Nu s-a trimis parametrii de instalare,Не удалось отправить параметры установки,Nepodarilo sa odoslať parametre inštalácie,Pošiljanje namestitvenih parametrov je bilo neuspešno,Слање параметара инсталације није успело,Det gick inte att skicka installationsparametrarna,ไม่สามารถส่งพารามิเตอร์การติดตั้งได้,Yükleme parametreleri gönderilemedi,Не вдалося надіслати параметри інсталяції,Không thể gửi các thông số cài đặt,安装参数提交失败,無法提交安裝參數
